# slide-28
# source: VLM caption (slide-28.png)
# model: google/gemini-2.5-flash-lite
# prompt_tokens: 1967
# completion_tokens: 188
# latency_s: 4.44
# est_cost_usd: 0.00027190
1.  **Текст:**
    *   Заголовок: Ступень 3: Трансформируем организацию
    *   Подзаголовок: Модель Коттера — 8 шагов
    *   Подпись к изображению: «Не меняться» уже не получится
    *   Нижний колонтитул (слева): LLMSTART.RU
    *   Нижний колонтитул (справа): 28

2.  **Числа и проценты:**
    *   8
    *   28

3.  **Визуальная структура:**
    Слайд содержит иллюстрацию (диаграмму в виде сцены с пингвинами на льдине, символизирующую процесс трансформации) и текстовые элементы (заголовки, подписи, нижние колонтитулы).
