# slide-58
# source: VLM caption (slide-58.png)
# model: google/gemini-2.5-flash-lite
# prompt_tokens: 1967
# completion_tokens: 377
# latency_s: 6.34
# est_cost_usd: 0.00034750
1.  **Текст на слайде:**
    *   Заголовок: «MediaWise — многочатовый RAG по корпоративной базе знаний»
    *   Подзаголовок: Медиаагентство · 500+ сотрудников
    *   Блок 1:
        *   500+
        *   сотрудников
        *   экономят время
        *   каждый день
    *   Блок 2:
        *   2–3 часа
        *   экономии в день
        *   на человека
    *   Блок 3:
        *   85%+
        *   точность поиска
        *   по корпоративной
        *   базе
    *   Блок 4:
        *   –60%
        *   "изобретений
        *   велосипедов"
    *   Подпись к схеме: База Знаний
    *   Нижний колонтитул: LLMSTART.RU · MediaWise
    *   Номер слайда: 58

2.  **Числа и проценты:**
    *   500+
    *   500+
    *   2–3
    *   85%+
    *   –60%
    *   58

3.  **Визуальная структура:**
    Слайд содержит заголовок, подзаголовок, четыре информационных блока с числами и текстом, а также иллюстративную схему, показывающую взаимодействие пользователей с централизованной "Базой Знаний". Внизу слайда расположен нижний колонтитул с адресом сайта и названием компании, а также номер слайда.
